Record ID,Current Institution    List the person's current institution. Select the name of the insitutation from the drop down (list is in alphabetical order). 
912,Private
913,Maimonides Medical Center
914,MD Anderson Cancer Center
915,University of Washington
916,Brigham and Women's Hospital
917,Emory University
918,University of Ottawa
919,University of North Carolina at Chapel Hill
920,Keck Medicine of USC
921,Keck Medicine of USC
922,Mayo Clinic
923,University of Southern California
924,University of Washington
925,Cornell University
926,Vanderbilt University
927,Baylor College of Medicine
928,Boston Children's Hospital
929,Boston Children's Hospital
930,University of Wisconsin-Madison
931,Duke University
932,University of Massachusetts Boston
933,Mayo Clinic
934,University of Texas at Dallas
935,Nationwide Children's Hospital
936,University of Chicago
937,University of Alabama at Huntsville
938,Duke University
939,Nationwide Children's Hospital
940,"University of California, Davis"
941,Nationwide Children's Hospital
942,"University of California, San Francisco"
943,Mayo Clinic
944,University of Toledo
945,University of Alabama at Birmingham
946,Vanderbilt University
947,University of Arizona
948,Vanderbilt University
949,Vanderbilt University
950,University of Utah
951,University of Minnesota at Rochester
952,NIDDK
953,University of Alabama at Birmingham
954,American Urological Association
955,Texas Tech University
956,"University of California, San Francisco"
957,"University of California, Los Angeles"
958,University of Alabama at Huntsville
959,Lewis & Clark
960,Oregon Health and Science University
961,University of Wisconsin-Madison
962,University of Wisconsin-Madison
963,Nationwide Children's Hospital
964,Stanford University
965,Stanford University
966,UW Health
967,Stanford University
968,
969,Stanford University
970,Stanford University
971,Stanford University
972,Stanford University
973,Stanford University
974,Stanford University
975,Stanford University
976,Stanford University
977,Stanford University
978,
979,Stanford University
980,Stanford University
981,University of Wisconsin-Madison
982,Stanford University
983,Stanford University
984,Stanford University
985,Stanford University
986,Stanford University
987,Stanford University
988,Stanford University
989,Stanford University
990,Stanford University
991,Stanford University
992,Boston Children's Hospital
993,Mayo Clinic
994,Western University
995,Western University
996,Western University
997,Western University
998,Lawson Health Research Institute
999,University of Alabama at Huntsville
1000,Western University
1001,University of Michigan
1002,Ohio State University
1003,University of Alabama at Birmingham
1004,University of Wisconsin-Madison
1005,University of Illinois Chicago
1007,Brigham and Women's Hospital
1008,Stanford University
1009,"University of California, Berkeley"
1010,American Urological Association
1011,American Urological Association
1012,NDRI
1013,Macon & Joan Brock Virginia Health Sciences at Old Dominion University
1014,American Urological Association
1015,American Urological Association
1016,American Urological Association
1017,Bladder Cancer Advocacy Network
1018,United Spinal Association
1019,University of Wisconsin-Madison
1020,National Association for Continence
1021,"University of California, San Francisco"
1022,University of Michigan
1023,Wake Forest University
1024,Brody School of Medicine
1025,Wake Forest University
1026,Hackensack Meridian Health - Jersey Shore University Medical Center
1027,University of Cincinnati
1028,Virginia Commonwealth University
1029,Medical College of Wisconsin
1030,University of Missouri
1031,University of Pennsylvania
1032,Stanford University
1033,Stanford University
1034,Duke University
1035,University of North Carolina at Chapel Hill
1036,Washington University in St. Louis
1037,Columbia University
1038,Duke University
1039,Boston Children's Hospital
1040,Houston Methodist Hospital
1041,Jackson Laboratory
1042,University of Michigan
1043,Texas A&M University
1044,Macon & Joan Brock Virginia Health Sciences at Old Dominion University
1045,University of British Columbia
1046,University of Notre Dame
